days since 1900-1-1, spei
1901-01-16, NA
1901-02-15, 0.89239
1901-03-16, -0.12554
1901-04-16, -0.71195
1901-05-16, 1.0969
1901-06-16, 1.0916
1901-07-16, -1.3159
1901-08-16, -0.85865
1901-09-16, 0.896
1901-10-16, 0.85904
1901-11-16, -0.37461
1901-12-16, -1.3761
1902-01-16, -1.474
1902-02-15, -0.061891
1902-03-16, 0.56327
1902-04-16, 0.50144
1902-05-16, 0.55418
1902-06-16, -0.44934
1902-07-16, -1.0509
1902-08-16, 0.56913
1902-09-16, -0.13023
1902-10-16, 0.27604
1902-11-16, 1.0959
1902-12-16, 0.20479
1903-01-16, -0.33564
1903-02-15, -0.39614
1903-03-16, 0.36264
1903-04-16, 1.0245
1903-05-16, 0.55862
1903-06-16, -0.71789
1903-07-16, -0.24573
1903-08-16, -0.065666
1903-09-16, -0.65268
1903-10-16, -1.4704
1903-11-16, -1.4997
1903-12-16, -1.5588
1904-01-16, -1.7345
1904-02-15, -0.22553
1904-03-16, 0.90261
1904-04-16, 0.88488
1904-05-16, -0.21419
1904-06-16, -1.549
1904-07-16, -1.247
1904-08-16, -1.0398
1904-09-16, 0.96779
1904-10-16, 1.3846
1904-11-16, -0.84609
1904-12-16, -1.0043
1905-01-16, -0.4861
1905-02-15, 0.37554
1905-03-16, 1.0595
1905-04-16, 0.65952
1905-05-16, 0.52511
1905-06-16, 1.4702
1905-07-16, -0.36737
1905-08-16, -1.1329
1905-09-16, -0.93171
1905-10-16, -1.1895
1905-11-16, -0.26473
1905-12-16, -0.5723
1906-01-16, -0.60202
1906-02-15, -0.0094509
1906-03-16, 1.4147
1906-04-16, 1.6326
1906-05-16, 0.70296
1906-06-16, 1.3315
1906-07-16, -0.82631
1906-08-16, -0.26218
1906-09-16, -0.11272
1906-10-16, -1.7711
1906-11-16, -1.2089
1906-12-16, 1.0943
1907-01-16, 1.7354
1907-02-15, 0.59893
1907-03-16, 0.32904
1907-04-16, 0.78067
1907-05-16, -0.35725
1907-06-16, 0.18443
1907-07-16, 0.054856
1907-08-16, 0.38685
1907-09-16, 0.56866
1907-10-16, 1.5945
1907-11-16, 0.18227
1907-12-16, -0.75378
1908-01-16, 0.35012
1908-02-15, 0.78961
1908-03-16, -0.20709
1908-04-16, -1.2785
1908-05-16, -0.29513
1908-06-16, 0.58015
1908-07-16, -0.22663
1908-08-16, -0.93145
1908-09-16, 1.5036
1908-10-16, 1.0197
1908-11-16, -0.25692
1908-12-16, -0.42349
1909-01-16, 1.4119
1909-02-15, 1.7614
1909-03-16, 1.2223
1909-04-16, 0.5048
1909-05-16, -0.61686
1909-06-16, 0.83356
1909-07-16, 1.4161
1909-08-16, 1.3678
1909-09-16, 0.74165
1909-10-16, 0.64699
1909-11-16, 0.84767
1909-12-16, 1.7838
1910-01-16, 1.264
1910-02-15, -0.68221
1910-03-16, -0.58063
1910-04-16, -0.098241
1910-05-16, -1.4024
1910-06-16, -0.53046
1910-07-16, 1.1418
1910-08-16, 1.2961
1910-09-16, 1.7095
1910-10-16, 1.0461
1910-11-16, -0.39828
1910-12-16, -0.94124
1911-01-16, 1.2495
1911-02-15, 1.4891
1911-03-16, 1.4069
1911-04-16, 1.6416
1911-05-16, 0.65225
1911-06-16, 1.194
1911-07-16, 1.7542
1911-08-16, 1.5656
1911-09-16, 1.514
1911-10-16, 0.70329
1911-11-16, -1.0389
1911-12-16, -0.76916
1912-01-16, -0.78749
1912-02-15, -1.699
1912-03-16, 0.52001
1912-04-16, 1.8057
1912-05-16, 1.4961
1912-06-16, 1.2855
1912-07-16, 1.2648
1912-08-16, 1.109
1912-09-16, 0.1001
1912-10-16, 0.22986
1912-11-16, -0.47741
1912-12-16, -1.4055
1913-01-16, -0.8332
1913-02-15, 0.40514
1913-03-16, -0.027125
1913-04-16, -0.72838
1913-05-16, 0.044845
1913-06-16, 1.4051
1913-07-16, 1.8579
1913-08-16, 1.232
1913-09-16, -0.3901
1913-10-16, -1.5001
1913-11-16, 0.67798
1913-12-16, 0.86128
1914-01-16, 1.8043
1914-02-15, 1.6585
1914-03-16, -0.35224
1914-04-16, -0.99586
1914-05-16, 0.22389
1914-06-16, 1.194
1914-07-16, 1.4314
1914-08-16, 1.3537
1914-09-16, 0.78459
1914-10-16, 0.46408
1914-11-16, -1.0678
1914-12-16, 0.21084
1915-01-16, 1.0469
1915-02-15, 1.4442
1915-03-16, 0.83759
1915-04-16, -0.011216
1915-05-16, 1.7046
1915-06-16, 1.4914
1915-07-16, 0.3294
1915-08-16, -0.2842
1915-09-16, -0.81935
1915-10-16, -1.207
1915-11-16, -1.3204
1915-12-16, -0.14709
1916-01-16, 1.5835
1916-02-15, 0.95501
1916-03-16, -0.73186
1916-04-16, -0.61393
1916-05-16, -0.82632
1916-06-16, 0.30657
1916-07-16, 0.81995
1916-08-16, 1.1815
1916-09-16, 2.042
1916-10-16, 2.4939
1916-11-16, 0.74055
1916-12-16, 0.93335
1917-01-16, 0.9015
1917-02-15, 0.12482
1917-03-16, -0.44527
1917-04-16, -0.95625
1917-05-16, 0.2139
1917-06-16, -0.39869
1917-07-16, -2.0384
1917-08-16, -0.30624
1917-09-16, -0.81935
1917-10-16, -1.8609
1917-11-16, -1.5099
1917-12-16, -1.676
1918-01-16, -1.7167
1918-02-15, 0.7416
1918-03-16, 1.7835
1918-04-16, 1.0558
1918-05-16, -0.52076
1918-06-16, -0.21226
1918-07-16, -0.068958
1918-08-16, 1.3106
1918-09-16, 2.0499
1918-10-16, 1.3009
1918-11-16, 0.89863
1918-12-16, 0.41892
1919-01-16, -1.059
1919-02-15, -0.57988
1919-03-16, 0.1691
1919-04-16, -0.26356
1919-05-16, -0.20588
1919-06-16, -0.1125
1919-07-16, -1.247
1919-08-16, -0.52019
1919-09-16, 0.46038
1919-10-16, 0.32178
1919-11-16, -0.93871
1919-12-16, -0.65793
1920-01-16, -0.88036
1920-02-15, -0.4374
1920-03-16, 0.73242
1920-04-16, 0.78264
1920-05-16, -0.2364
1920-06-16, -0.0088673
1920-07-16, 0.024124
1920-08-16, -0.88053
1920-09-16, -0.066192
1920-10-16, 0.58195
1920-11-16, 0.17985
1920-12-16, -0.34334
1921-01-16, 0.44563
1921-02-15, 0.094221
1921-03-16, -0.70875
1921-04-16, -0.50824
1921-05-16, 0.69039
1921-06-16, 1.5743
1921-07-16, -0.80695
1921-08-16, -1.1968
1921-09-16, -0.083611
1921-10-16, 0.036619
1921-11-16, -0.91756
1921-12-16, 0.9308
1922-01-16, 1.3621
1922-02-15, 0.78735
1922-03-16, 0.66793
1922-04-16, 0.32433
1922-05-16, -0.19207
1922-06-16, -0.41388
1922-07-16, -0.79403
1922-08-16, -1.1756
1922-09-16, -2.2427
1922-10-16, -0.98571
1922-11-16, 0.58803
1922-12-16, 1.1492
1923-01-16, 0.56637
1923-02-15, -0.88914
1923-03-16, -1.6165
1923-04-16, -0.12675
1923-05-16, 1.2493
1923-06-16, 0.14147
1923-07-16, 0.87899
1923-08-16, -0.036872
1923-09-16, 0.27284
1923-10-16, 0.010385
1923-11-16, -1.2349
1923-12-16, -1.3761
1924-01-16, -1.5026
1924-02-15, -1.8496
1924-03-16, -0.71205
1924-04-16, 0.24429
1924-05-16, -0.84118
1924-06-16, -1.7064
1924-07-16, -0.056474
1924-08-16, 0.40679
1924-09-16, -1.5447
1924-10-16, -0.029149
1924-11-16, 0.084135
1924-12-16, -0.58946
1925-01-16, -0.96143
1925-02-15, -1.0889
1925-03-16, -0.21333
1925-04-16, 0.548
1925-05-16, 1.0515
1925-06-16, 0.90823
1925-07-16, 0.079326
1925-08-16, 0.51794
1925-09-16, 0.26736
1925-10-16, 0.44406
1925-11-16, -0.13032
1925-12-16, -0.65327
1926-01-16, -0.74726
1926-02-15, -0.29376
1926-03-16, -0.60245
1926-04-16, 0.37177
1926-05-16, 1.4768
1926-06-16, -1.6142
1926-07-16, -1.2408
1926-08-16, -1.1897
1926-09-16, -0.68251
1926-10-16, -0.84647
1926-11-16, 1.4933
1926-12-16, 1.0186
1927-01-16, -0.46517
1927-02-15, 0.80388
1927-03-16, 0.93152
1927-04-16, -0.043132
1927-05-16, -0.54107
1927-06-16, -0.72295
1927-07-16, -0.20757
1927-08-16, -0.93145
1927-09-16, -0.23004
1927-10-16, 1.1645
1927-11-16, 0.85755
1927-12-16, 0.31434
1928-01-16, -0.78481
1928-02-15, -1.2007
1928-03-16, -0.44312
1928-04-16, -0.65094
1928-05-16, -0.95747
1928-06-16, -0.062991
1928-07-16, -0.43177
1928-08-16, -0.74879
1928-09-16, -1.9189
1928-10-16, -1.812
1928-11-16, 0.2926
1928-12-16, 0.56816
1929-01-16, -0.15723
1929-02-15, -0.79393
1929-03-16, -0.64181
1929-04-16, -0.017844
1929-05-16, -0.32047
1929-06-16, -1.563
1929-07-16, -0.59989
1929-08-16, -1.8097
1929-09-16, -1.6822
1929-10-16, -1.6012
1929-11-16, -2.1298
1929-12-16, -1.937
1930-01-16, -0.39754
1930-02-15, -0.10143
1930-03-16, -0.3842
1930-04-16, -0.073957
1930-05-16, 0.15334
1930-06-16, 0.92754
1930-07-16, -1.3346
1930-08-16, -1.8294
1930-09-16, -0.18296
1930-10-16, -0.64704
1930-11-16, -0.39565
1930-12-16, -1.0549
1931-01-16, -0.6219
1931-02-15, 0.20822
1931-03-16, -0.99656
1931-04-16, -1.6803
1931-05-16, -1.0293
1931-06-16, -0.13735
1931-07-16, -1.2971
1931-08-16, -2.6471
1931-09-16, -1.2859
1931-10-16, -1.3548
1931-11-16, 0.60321
1931-12-16, 2.1287
1932-01-16, 1.3791
1932-02-15, 0.52531
1932-03-16, -0.22375
1932-04-16, -1.3264
1932-05-16, -0.57015
1932-06-16, -0.64706
1932-07-16, -0.9614
1932-08-16, -0.69731
1932-09-16, -0.52729
1932-10-16, -0.75602
1932-11-16, -1.5985
1932-12-16, -0.93219
1933-01-16, 1.0509
1933-02-15, 0.3656
1933-03-16, -1.6043
1933-04-16, -1.2893
1933-05-16, -0.090964
1933-06-16, 0.92369
1933-07-16, -0.6258
1933-08-16, -1.7506
1933-09-16, -0.42584
1933-10-16, -0.2251
1933-11-16, -1.3847
1933-12-16, -0.34334
1934-01-16, -0.21483
1934-02-15, -0.51619
1934-03-16, -1.0555
1934-04-16, -2.2874
1934-05-16, -2.3144
1934-06-16, 0.074006
1934-07-16, 0.90319
1934-08-16, -1.1968
1934-09-16, -1.8496
1934-10-16, 0.51958
1934-11-16, 1.832
1934-12-16, 1.2681
1935-01-16, 0.86902
1935-02-15, 0.29219
1935-03-16, 0.21286
1935-04-16, 1.0814
1935-05-16, 1.143
1935-06-16, -0.7381
1935-07-16, -0.93574
1935-08-16, 0.23783
1935-09-16, -0.49146
1935-10-16, -0.4014
1935-11-16, -0.089407
1935-12-16, -0.67964
1936-01-16, -1.252
1936-02-15, 0.85994
1936-03-16, 1.0541
1936-04-16, -0.66727
1936-05-16, -0.84118
1936-06-16, -1.4123
1936-07-16, -1.6895
1936-08-16, -1.8619
1936-09-16, -1.7636
1936-10-16, 0.77315
1936-11-16, -0.12263
1936-12-16, 0.79688
1937-01-16, 1.3485
1937-02-15, 0.9222
1937-03-16, 1.1042
1937-04-16, 0.62152
1937-05-16, -0.93058
1937-06-16, -1.1956
1937-07-16, -1.2345
1937-08-16, -1.6242
1937-09-16, -1.5834
1937-10-16, -1.5213
1937-11-16, -1.4589
1937-12-16, 0.047325
1938-01-16, 0.2873
1938-02-15, 0.98521
1938-03-16, 2.0156
1938-04-16, 1.7927
1938-05-16, 0.39614
1938-06-16, -0.0088676
1938-07-16, 0.16413
1938-08-16, -0.38725
1938-09-16, -0.52728
1938-10-16, -0.63795
1938-11-16, -1.0704
1938-12-16, -0.33862
1939-01-16, 0.25148
1939-02-15, -0.31233
1939-03-16, -0.19359
1939-04-16, -0.18293
1939-05-16, -1.1404
1939-06-16, -0.884
1939-07-16, -0.99982
1939-08-16, -1.3719
1939-09-16, 0.50719
1939-10-16, 0.55869
1939-11-16, -1.1019
1939-12-16, -1.2162
1940-01-16, 0.06181
1940-02-15, 0.838
1940-03-16, 0.06824
1940-04-16, -0.36967
1940-05-16, -0.29794
1940-06-16, -1.9324
1940-07-16, -1.6292
1940-08-16, -1.1968
1940-09-16, -0.25956
1940-10-16, 0.60121
1940-11-16, -0.36936
1940-12-16, 0.95616
1941-01-16, 1.5509
1941-02-15, 1.4509
1941-03-16, 1.7888
1941-04-16, 1.9985
1941-05-16, 1.6742
1941-06-16, -0.23733
1941-07-16, 0.27108
1941-08-16, 0.42003
1941-09-16, 0.47083
1941-10-16, 1.0884
1941-11-16, 0.094036
1941-12-16, 1.3063
1942-01-16, 0.86725
1942-02-15, -1.1573
1942-03-16, -1.0689
1942-04-16, 0.49135
1942-05-16, 1.4374
1942-06-16, -0.38351
1942-07-16, -0.85211
1942-08-16, -1.011
1942-09-16, -0.70635
1942-10-16, -0.20264
1942-11-16, -0.21021
1942-12-16, -0.45018
1943-01-16, 1.318
1943-02-15, 1.1114
1943-03-16, 0.23172
1943-04-16, 0.69482
1943-05-16, -0.10722
1943-06-16, -0.99874
1943-07-16, -0.2521
1943-08-16, -0.74879
1943-09-16, -1.7528
1943-10-16, -1.0659
1943-11-16, -0.92549
1943-12-16, 0.3514
1944-01-16, 0.2526
1944-02-15, 0.59646
1944-03-16, 0.56663
1944-04-16, -0.45305
1944-05-16, 0.19886
1944-06-16, 0.41197
1944-07-16, 1.03
1944-08-16, -0.74879
1944-09-16, -1.7528
1944-10-16, -1.2856
1944-11-16, 1.3082
1944-12-16, 0.69317
1945-01-16, -1.2289
1945-02-15, -0.021725
1945-03-16, 0.93152
1945-04-16, 0.23937
1945-05-16, -0.76997
1945-06-16, 0.3297
1945-07-16, -0.10653
1945-08-16, -0.85865
1945-09-16, -1.1073
1945-10-16, 0.19175
1945-11-16, 0.13835
1945-12-16, 0.39553
1946-01-16, -0.28576
1946-02-15, -1.232
1946-03-16, -0.18633
1946-04-16, 0.07908
1946-05-16, -0.33742
1946-06-16, -0.038344
1946-07-16, -0.68408
1946-08-16, -0.45369
1946-09-16, -1.4668
1946-10-16, -0.53328
1946-11-16, 1.9264
1946-12-16, 1.412
1947-01-16, -0.64848
1947-02-15, -1.4213
1947-03-16, -1.1847
1947-04-16, -1.1475
1947-05-16, -1.2095
1947-06-16, -0.37845
1947-07-16, -1.0381
1947-08-16, -1.3163
1947-09-16, -1.0957
1947-10-16, -0.81938
1947-11-16, -0.76386
1947-12-16, -1.0043
1948-01-16, -1.5844
1948-02-15, -1.4543
1948-03-16, -0.093871
1948-04-16, 0.8764
1948-05-16, 1.1158
1948-06-16, 0.41649
1948-07-16, 0.073219
1948-08-16, -0.29154
1948-09-16, -1.2344
1948-10-16, -1.2464
1948-11-16, -1.3461
1948-12-16, -0.45645
1949-01-16, -0.13114
1949-02-15, -0.45981
1949-03-16, 0.10442
1949-04-16, -0.029802
1949-05-16, -0.48895
1949-06-16, 0.51468
1949-07-16, 0.024124
1949-08-16, -0.036872
1949-09-16, -0.86675
1949-10-16, -1.0437
1949-11-16, -0.70279
1949-12-16, -0.084582
1950-01-16, 0.2973
1950-02-15, -0.086816
1950-03-16, -0.67799
1950-04-16, -0.77933
1950-05-16, -0.35725
1950-06-16, 0.00093315
1950-07-16, 0.32361
1950-08-16, 0.16159
1950-09-16, 0.66375
1950-10-16, 1.1204
1950-11-16, 0.3303
1950-12-16, -0.58634
1951-01-16, -0.26541
1951-02-15, -0.38061
1951-03-16, -1.1568
1951-04-16, -0.44293
1951-05-16, 0.41962
1951-06-16, 0.000933
1951-07-16, 0.3178
1951-08-16, 0.0061313
1951-09-16, -0.23594
1951-10-16, -0.47412
1951-11-16, -0.058876
1951-12-16, 0.88592
1952-01-16, 1.6846
1952-02-15, 0.70347
1952-03-16, 0.53196
1952-04-16, 1.3474
1952-05-16, -0.082858
1952-06-16, -0.62679
1952-07-16, 0.53239
1952-08-16, -0.25485
1952-09-16, -1.0957
1952-10-16, -1.2638
1952-11-16, 0.77742
1952-12-16, 1.5378
1953-01-16, 0.46141
1953-02-15, -1.4323
1953-03-16, -1.5743
1953-04-16, -0.38254
1953-05-16, 0.51159
1953-06-16, -0.058056
1953-07-16, -0.51575
1953-08-16, -0.74144
1953-09-16, -0.41392
1953-10-16, -1.3763
1953-11-16, 0.19682
1953-12-16, -0.56293
1954-01-16, -0.081818
1954-02-15, 0.11202
1954-03-16, -0.06848
1954-04-16, 0.34578
1954-05-16, -0.58764
1954-06-16, -0.58117
1954-07-16, -1.2219
1954-08-16, -0.50541
1954-09-16, -0.30692
1954-10-16, -1.372
1954-11-16, -0.40091
1954-12-16, -0.14239
1955-01-16, 0.59744
1955-02-15, 0.22159
1955-03-16, -1.1758
1955-04-16, -0.55798
1955-05-16, 1.0743
1955-06-16, 0.98088
1955-07-16, 0.50487
1955-08-16, -0.32095
1955-09-16, -1.0724
1955-10-16, -0.82841
1955-11-16, -0.25172
1955-12-16, 1.175
1956-01-16, 1.294
1956-02-15, 0.00074694
1956-03-16, -1.4697
1956-04-16, -0.54771
1956-05-16, 1.3194
1956-06-16, 0.23647
1956-07-16, -0.6517
1956-08-16, 0.36682
1956-09-16, -1.0549
1956-10-16, -0.33339
1956-11-16, -0.90698
1956-12-16, -1.6399
1957-01-16, -0.30874
1957-02-15, 0.2311
1957-03-16, -0.41629
1957-04-16, -0.047139
1957-05-16, 1.0301
1957-06-16, 0.25057
1957-07-16, -1.8446
1957-08-16, -1.6242
1957-09-16, -1.0432
1957-10-16, 0.99308
1957-11-16, 0.58368
1957-12-16, 0.18206
1958-01-16, 0.25823
1958-02-15, 0.80836
1958-03-16, 1.5436
1958-04-16, 1.8689
1958-05-16, 1.7914
1958-06-16, -0.46454
1958-07-16, -0.056474
1958-08-16, 0.58813
1958-09-16, 1.0718
1958-10-16, -0.30625
1958-11-16, -1.2609
1958-12-16, -1.5315
1959-01-16, -1.3718
1959-02-15, 0.11991
1959-03-16, -0.57192
1959-04-16, -1.5785
1959-05-16, -0.49472
1959-06-16, -1.0582
1959-07-16, -1.815
1959-08-16, -1.1968
